ticker,months_held
MSFT,355
GOOGL,241
AAPL,212
XOM,183
AMZN,181
C,157
BAC,155
AIG,154
GOOG,144
GE,143
WMT,140
JNJ,105
NVDA,93
INTC,58
AMD,39
TSLA,36
KO,34
CVX,34
TWX,31
V,31
NFLX,30
PG,27
META,27
MU,26
CSCO,25
PFE,24
ATI,19
UVN,18
AN,17
BA,17
