ticker,months_held
D,204
PPL,191
FE,180
DUK,164
AEE,161
AEP,146
DTE,146
PNW,146
KIM,142
PEG,132
IRM,122
EQR,108
PM,108
LYB,108
PBI,102
PFE,100
KDP,96
KEY,95
BXP,95
KMI,95
HBAN,90
O,87
DLX,86
ROK,73
EXC,71
PGR,68
DOW,66
MAC,59
HP,57
CAG,56
