ticker,months_held
NVDA,143
AAPL,127
AMD,123
MU,114
PHM,89
FCX,78
NFLX,78
EXPE,76
APA,70
VLO,70
NTAP,69
NEM,67
AMAT,65
THC,65
HAL,64
HUM,63
AMZN,63
NRG,61
WDC,58
BBBY,57
GLW,56
DVN,54
EP,53
CSCO,52
F,52
GWW,52
DHI,52
TJX,51
PCG,51
NUE,51
