ticker,months_held
MSFT,352
GOOGL,241
AAPL,224
AMZN,192
XOM,188
WMT,171
BAC,166
C,157
AIG,153
JNJ,148
GOOG,144
GE,131
NVDA,121
INTC,88
AMD,84
NFLX,64
CSCO,47
TSLA,46
CVX,43
MU,41
PFE,39
GLW,39
EP,39
THC,39
FCX,39
NEM,38
AZO,38
GR,38
CF,38
FSLR,38
