,total_return,cagr,volatility,sharpe,max_drawdown,max_drawdown_start,max_drawdown_end,n_years
Top 10 by Market Cap,13.364571824785884,0.09210371996739952,0.1868783697926336,0.5671944646835435,-0.684038706919099,2000-09-01 00:00:00,2009-03-02 00:00:00,30.245037645448324
Top 10 by Momentum (12-1),32.7124794281111,0.12334657114324132,0.24902854934254845,0.5932604551561819,-0.7142868712220957,2000-03-01 00:00:00,2009-03-02 00:00:00,30.245037645448324
Unified (Top 7 MC + Top 3 Momentum),20.940061956766435,0.10750505203722316,0.21841227910812555,0.5796739350953027,-0.7095665849839535,2000-09-01 00:00:00,2009-03-02 00:00:00,30.245037645448324
Unified Balanced (5 MC + 5 Mom),31.354399678185594,0.12182042151071526,0.2452352339002281,0.5945986022939898,-0.7043878169459454,2007-10-01 00:00:00,2009-03-02 00:00:00,30.245037645448324
Unified Defensive (5 MC + 3 Mom + 2 Low Vol),16.94598405939223,0.10017118265037639,0.20341186904201466,0.574304398349404,-0.6941868585341835,2007-06-01 00:00:00,2009-03-02 00:00:00,30.245037645448324
Top 10 by Dividend Yield,27.288124577246457,0.11684984311852076,0.21507937525699208,0.6281304532186998,-0.6820372623929429,2007-06-01 00:00:00,2009-03-02 00:00:00,30.245037645448324
Macro Regime Switch (Mom / Low Vol),91.40941836706972,0.1614299383104978,0.22087009296795473,0.7910619825701954,-0.6704008387595813,2007-06-01 00:00:00,2009-03-02 00:00:00,30.245037645448324
Ultimate Strategy (Regime Blending),70.7043573337995,0.15172929328364604,0.2200201581933444,0.7559499427213099,-0.7023429669557726,2007-06-01 00:00:00,2009-03-02 00:00:00,30.245037645448324
S&P 500 (Benchmark),9.592882623863819,0.08116088513140407,0.19073332085074252,0.5052896890379222,-0.5677538774277282,2007-10-09 00:00:00,2009-03-09 00:00:00,30.245037645448324
