ticker,months_held
MSFT,352
XOM,284
WMT,259
GOOGL,241
JNJ,218
AAPL,197
AMZN,184
BAC,168
C,157
AIG,153
GE,150
GOOG,142
PG,137
INTC,136
JPM,125
KO,95
V,81
CVX,76
FNMA,71
PFE,67
TSLA,64
DIS,59
NVDA,56
META,46
MRK,40
RIG,31
BA,27
UNH,27
AVGO,27
SLB,26
