ticker,months_held
NVDA,132
AMD,98
AAPL,93
MU,88
NFLX,78
FCX,77
EXPE,76
PHM,75
THC,65
AMZN,64
AMAT,63
BBY,63
HUM,62
BBBY,57
KO,56
APA,53
VLO,53
CSCO,52
GLW,52
F,52
AEP,52
XEL,52
DTE,52
RHI,52
EP,52
HAL,52
DHI,52
DRI,51
NEE,51
GIS,51
