ticker,months_held
MSFT,309
AAPL,218
GOOGL,205
BAC,160
AIG,149
AMZN,142
C,140
GOOG,124
XOM,114
NVDA,112
WMT,93
KO,89
AMD,85
GE,71
MU,70
FCX,65
EXPE,62
NFLX,62
EOG,55
AEE,52
INTC,51
DUK,51
JNJ,43
NEM,41
VLO,41
DTE,40
AZO,40
LYB,40
TJX,39
GIS,39
